,coordinates,industries,smog,time,traffic
110,"['33.64419651', '72.98762025']",0,187.0,0.0,4.02272727273
111,"['33.64419657', '72.98762025']",0,187.0,0.0,4.02272727273
112,"['33.64419665', '72.98762023']",0,184.0,0.0,4.02272727273
113,"['33.64419666', '72.98762022']",0,185.0,0.0,4.02272727273
114,"['33.64419666', '72.98762024']",0,188.0,0.0,4.02272727273
115,"['33.64419667', '72.98762024']",0,191.0,0.0,4.02272727273
116,"['33.64419667', '72.98762021']",0,188.0,0.0,4.02272727273
117,"['33.64419667', '72.98762022']",0,191.0,0.0,4.02272727273
118,"['33.64419668', '72.98762018']",0,188.0,0.0,4.02272727273
119,"['33.6441967', '72.98762019']",0,188.0,0.0,4.02272727273
120,"['33.64419665', '72.98762019']",0,189.0,0.0,4.02272727273
121,"['33.64419669', '72.9876202']",0,189.0,0.0,4.02272727273
122,"['33.64419664', '72.98762021']",0,187.0,0.0,4.02272727273
123,"['33.64419677', '72.98762013']",0,191.0,0.0,4.02272727273
124,"['33.64419672', '72.98762016']",0,190.0,0.0,4.02272727273
125,"['33.64419671', '72.98762013']",0,192.0,0.0,4.02272727273
126,"['33.6441968', '72.98762016']",0,191.0,0.0,4.02272727273
127,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
128,"['33.64419681', '72.98762015']",0,192.0,0.0,4.02272727273
129,"['33.64419681', '72.98762015']",0,191.0,0.0,4.02272727273
130,"['33.64419681', '72.98762015']",0,191.0,0.0,4.02272727273
131,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
132,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
133,"['33.64419681', '72.98762015']",0,191.0,0.0,4.02272727273
134,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
135,"['33.64419681', '72.98762015']",0,191.0,0.0,4.02272727273
136,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
137,"['33.64419681', '72.98762015']",0,189.0,0.0,4.02272727273
138,"['33.64419681', '72.98762015']",0,190.0,0.0,4.02272727273
139,"['33.64419681', '72.98762015']",0,190.0,0.0,0.0
140,"['33.64419681', '72.98762015']",0,191.0,0.0,4.02272727273
141,"['33.64419681', '72.98762015']",0,189.0,0.0,4.02272727273
142,"['33.64419681', '72.98762015']",0,188.0,0.0,4.02272727273
143,"['33.64419681', '72.98762015']",0,189.0,0.0,4.02272727273
144,"['33.64419681', '72.98762015']",0,188.0,0.0,4.02272727273
145,"['33.64419681', '72.98762015']",0,189.0,0.0,4.02272727273
146,"['33.64419681', '72.98762015']",0,189.0,0.0,4.02272727273
147,"['33.64420144', '72.98762012']",0,191.0,0.0,4.02272727273
148,"['33.64420197', '72.98761981']",0,190.0,0.0,4.02272727273
149,"['33.64420353', '72.98761949']",0,192.0,0.0,4.02272727273
150,"['33.64420341', '72.98761978']",0,190.0,0.0,4.02272727273
151,"['33.64420157', '72.98761969']",0,191.0,0.0,0.0
152,"['33.64420334', '72.98761976']",0,190.0,0.0,4.02272727273
153,"['33.6442033', '72.98761974']",0,189.0,0.0,4.02272727273
154,"['33.6442007', '72.98761987']",0,189.0,0.0,4.02272727273
155,"['33.64420354', '72.9876195']",0,190.0,0.0,4.02272727273
156,"['33.64420355', '72.98761951']",0,189.0,0.0,4.02272727273
157,"['33.64420168', '72.98761925']",0,189.0,0.0,4.02272727273
158,"['33.64420357', '72.98761949']",0,189.0,0.0,4.02272727273
159,"['33.64420357', '72.98761948']",0,188.0,0.0,4.02272727273
160,"['33.64420359', '72.98761949']",0,187.0,0.0,4.02272727273
161,"['33.64420358', '72.98761948']",0,188.0,0.0,4.02272727273
162,"['33.64420358', '72.98761948']",0,188.0,0.0,0.0
163,"['33.64420357', '72.98761946']",0,190.0,0.0,4.02272727273
164,"['33.64420353', '72.98761948']",0,189.0,0.0,4.02272727273
165,"['33.64420355', '72.98761947']",0,190.0,0.0,4.02272727273
166,"['33.6442035', '72.9876195']",0,191.0,0.0,4.02272727273
167,"['33.64420356', '72.98761947']",0,191.0,0.0,4.02272727273
168,"['33.6442035', '72.98761949']",0,189.0,0.0,4.02272727273
169,"['33.64420345', '72.9876195']",0,188.0,0.0,4.02272727273
170,"['33.64420355', '72.98761948']",0,190.0,0.0,4.02272727273
171,"['33.6442036', '72.98761947']",0,187.0,0.0,4.02272727273
172,"['33.6442034', '72.98761952']",0,188.0,0.0,4.02272727273
173,"['33.64420345', '72.98761951']",0,188.0,0.0,4.02272727273
174,"['33.64420341', '72.98761953']",0,187.0,0.0,4.02272727273
175,"['33.64420338', '72.98761951']",0,189.0,0.0,4.02272727273
176,"['33.64420337', '72.98761951']",0,189.0,0.0,4.02272727273
177,"['33.64420339', '72.98761952']",0,190.0,0.0,4.02272727273
178,"['33.64420339', '72.9876195']",0,187.0,0.0,0.0
179,"['33.64420336', '72.98761947']",0,190.0,0.0,4.02272727273
180,"['33.6442034', '72.98761944']",0,192.0,0.0,4.02272727273
181,"['33.64420338', '72.98761945']",0,192.0,0.0,4.02272727273
182,"['33.64420339', '72.98761943']",0,192.0,0.0,4.02272727273
183,"['33.64420339', '72.98761944']",0,192.0,0.0,4.02272727273
184,"['33.64420331', '72.98761942']",0,188.0,0.0,4.02272727273
185,"['33.64420335', '72.98761942']",0,190.0,0.0,4.02272727273
186,"['33.64420338', '72.98761943']",0,190.0,0.0,4.02272727273
187,"['33.64420334', '72.98761943']",0,190.0,0.0,4.02272727273
188,"['33.64420327', '72.98761941']",0,191.0,0.0,4.02272727273
189,"['33.64420329', '72.98761941']",0,190.0,0.0,4.02272727273
190,"['33.64420339', '72.98761947']",0,187.0,0.0,4.02272727273
191,"['33.64420326', '72.98761941']",0,190.0,0.0,4.02272727273
192,"['33.64420321', '72.98761945']",0,191.0,0.0,4.02272727273
193,"['33.64420319', '72.98761945']",0,191.0,0.0,4.02272727273
194,"['33.64420326', '72.98761941']",0,192.0,0.0,4.02272727273
195,"['33.64420319', '72.98761945']",0,193.0,0.0,4.02272727273
196,"['33.64420319', '72.98761945']",0,193.0,0.0,4.02272727273
197,"['33.64420317', '72.98761948']",0,191.0,0.0,4.02272727273
198,"['33.64420328', '72.98761941']",0,192.0,0.0,4.02272727273
199,"['33.64420326', '72.98761942']",0,190.0,0.0,4.02272727273
200,"['33.64452999', '72.98741638']",0,768.0,0.0,1.0824299271
201,"['33.64452999', '72.98741638']",0,199.0,0.0,1.0824299271
202,"['33.64452999', '72.98741638']",0,27.0,0.0,1.0824299271
203,"['33.64410786', '72.98769052']",0,768.0,0.0,2.07989253394
204,"['33.64410786', '72.98769052']",0,712.0,0.0,2.07989253394
205,"['33.64410786', '72.98769052']",0,802.0,0.0,2.07989253394
206,"['33.64410786', '72.98769052']",0,596.0,0.0,2.07989253394
207,"['33.64410786', '72.98769052']",0,768.0,0.0,2.07989253394
208,"['33.64410786', '72.98769052']",0,565.0,0.0,2.07989253394
209,"['33.64410786', '72.98769052']",0,609.0,0.0,2.07989253394
210,"['33.64410786', '72.98769052']",0,526.0,0.0,2.07989253394
211,"['33.64410786', '72.98769052']",0,496.0,0.0,2.07989253394
212,"['33.64410786', '72.98769052']",0,658.0,0.0,2.07989253394
